time_min,day,hour,solar_gen_kw,load_kw,battery_soc_kwh,grid_import_kw,grid_export_kw,cost_cents,cloud_cover
13260,9,5.0,0.0,0.5286493133978233,0.675,0.5286493133978233,0.0,0.39648698504836744,0.22175784367137152
13320,9,6.0,0.0,0.5060235823371086,0.675,0.5060235823371086,0.0,0.3795176867528315,0.9570689569164836
13380,9,7.0,0.2847533205711938,0.5767083547466975,0.675,0.29195503417550367,0.0,0.21896627563162774,0.7799595308309709
13440,9,8.0,0.971228577783645,0.6326146068065848,0.9962374187524985,0.0,0.0,0.0,0.6115085688865419
13500,9,9.0,0.765984743191425,0.7843941837561779,0.9768321645411266,0.0,0.0,0.0,0.7833467975215629
13560,9,10.0,0.5713027194464111,0.5401611796489316,1.006375623222571,0.0,0.0,0.0,0.8680632884555397
13620,9,11.0,1.8180702878873225,0.5528692897977494,2.206650678786989,0.0,0.0,0.0,0.6235590273277904
13680,9,12.0,0.30467675216889867,0.5239659464391918,1.9754995720678985,0.0,0.0,0.0,0.9390646495662203
13740,9,13.0,0.6282533604874694,0.6292005992437091,1.9745010947486643,0.0,0.0,0.0,0.8699168521249467
13800,9,14.0,0.2239287829601451,0.5054011791150399,1.6778031379771017,0.0,0.0,0.0,0.948285862751462
13860,9,15.0,0.32443662766511977,0.6979095197417267,1.284128143546325,0.0,0.0,0.0,0.9082354642050795
13920,9,16.0,0.18939449123676524,0.7904910986188202,0.675,0.0232269112271406,0.0,0.01742018342035545,0.924242203505294
13980,9,17.0,0.9006178450783323,0.6894778877763208,0.875304951043517,0.0,0.0,0.0,0.30405597105762605
14040,9,18.0,9.674731688474419e-18,0.6702644460271154,0.675,0.48023848445530504,0.0,0.36017886334147875,0.984199964111758
14100,9,19.0,0.0,1.586021347911883,0.675,1.586021347911883,0.0,1.1895160109339122,0.6992877617315734
14160,9,20.0,0.0,1.7601431913018506,0.675,1.7601431913018506,0.0,1.320107393476388,0.7040732830429058
14220,9,21.0,0.0,2.374010664730933,0.675,2.374010664730933,0.0,1.7805079985481997,0.8072667924913491
14280,9,22.0,0.0,0.5505748369494627,0.675,0.5505748369494627,0.0,0.41293112771209706,0.8410866448228947
14340,9,23.0,0.0,0.6010910324607386,0.675,0.6010910324607386,0.0,0.45081827434555394,0.5618057306473396
14400,10,0.0,0.0,0.6844068516423802,0.675,0.6844068516423802,0.0,0.5133051387317852,0.0627635523033471
14460,10,1.0,0.0,0.6880896045919853,0.675,0.6880896045919853,0.0,0.516067203443989,0.0026318077585715696
14520,10,2.0,0.0,0.7229236629638298,0.675,0.7229236629638298,0.0,0.5421927472228724,0.8448872401098985
